level,BlockItem,Bomb,Dropline,Empty tray reward,Frozen,Goldlock,GrillBomb,GrillIceMain,GrillIceNeighbor,GrillLock,Hidden,HorizontalConveyer,Ice,LockArea,Lockitem,Mini tray,Octochef,Order,Overcook,SilverLock,SpicyTray,ToggleGrill,Vending3,VendingTray,VerticalConveyer,WoodenTray,Wrapped,time
1333,,,,,9,,,,,,,,3,,,,,,,,,,,,,1,50,310
1334,,,,1,,,1,,,4,35,,,,,,,,,,,,,5,,,,280
1335,,3,,,,1,,,,1,,1,,,,,,,2,1,,,,2,,2,42,300
1336,4,4,,1,,,1,,,,,,3,,1,,,,,,,,,,,3,53,250
1337,,3,,,5,,,,,,5,,2,,,,,,2,,,,,4,,3,42,280
1338,,,,,,1,,,,,,3,2,,,5,,,,,,,,5,,2,47,350
1339,,,,2,,,,,,,,,2,,,,,,,,,,,,,1,63,350
134,,,,1,2,,,,,,,,1,,,,,,,,,,,2,,,,310
1340,,,,1,,,2,,,,5,,,,,,,,,,,,,,,,39,180
1341,,,,,,,,,,,,,,,,,,,,,1,,,,,,,180
1342,,,,,,1,,,,2,,3,,,,10,,,2,1,,,,10,,,41,320
1343,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1344,,,,,,,,,,,29,,2,,,,,,,,1,,,3,,,,180
1345,,,,1,,,2,,,,,,4,,,,,,,,,,,,,2,51,300
1346,,,,,,,1,,,,42,2,3,,,,,,1,,,,,4,,,,400
1347,,,,,,1,2,,,,,,3,,,,,,,1,,,,,,2,42,180
1348,4,,,1,,,,,,,,,3,,,,,,2,,,,,,,2,62,300
1349,,,,1,,1,,,,1,,,,,,,,,,1,,,,6,,,56,330
135,,,,2,3,,,,,3,,1,,,,8,,,,,,,,2,,2,,420
1350,,,,,,1,,,,1,,1,,,,6,,,,1,,,,6,,2,49,400
1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
1352,,,,,,,,,,,,,,,,,,,,,1,,,,,,,210
1353,,,,,,1,2,,,,39,,2,,2,,,,,1,,,,,3,2,1,220
1354,3,,,,,,1,,,2,,1,,,2,,,,,,,,,4,,,53,220
1355,,,,,4,,1,,,,,,4,,,,,,,,,,,6,,2,48,510
1356,6,,,1,,,1,,,,,2,6,,,,,,,,,,,,,,52,450
1357,,,,1,,,,,,2,,,,,,,,,,,1,,,5,,,36,360
1358,,,,,,,,,,1,,,,,,,,,,,1,,,3,,,,260
1359,,,,,,1,2,,,,,,3,,,,,,,,,,,,2,,64,230
136,,,,,2,,,,,,,,,,,,,,,,1,,,2,,,,310
1360,,,,,,,1,,,,,2,4,,,10,,,,,,,,,,4,,380
1361,,,,,3,,,,,,5,1,,,,13,,,,,,,,,,,,390
1362,4,,,1,,1,1,,,,,,2,,,,,,,1,,,,,,2,49,180
1363,,,,,,,,,,,,1,,,,6,,,1,,,,,12,,,17,320
1364,,,,1,,1,,,,,,,1,,,,,,,1,,,,,,2,62,240
1365,,,,,,,1,,,4,22,,,,,,,,,,,,,5,2,,,300
1366,,,,,4,1,,,,1,,1,,,,,,,,1,,,,3,,,28,400
1367,,,,,,,,,,3,,1,,,,8,,,,,,,,6,,,,475
1368,,,,1,8,1,,,,,29,,3,,,,,,2,,,,,,,2,,270
1369,,,,1,12,,,,,,,,3,,,,,,,,,,,3,,2,,360
137,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,330
1370,,,,,7,,,,,,,,4,,,,,,2,,,,,4,,2,26,350
1371,,,,,9,1,,,,,,,3,,,,,,2,1,,,,,1,,31,300
1372,,,,,,1,,,,,,3,2,,,10,,,2,1,,,,10,,,27,420
1373,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1374,,,,,15,,,,,,,,,,,,,,1,,,,,,,2,41,300
1375,,,,,,,,,,,,,2,,,,,,,,,,,6,,1,38,330
1376,,,,1,,,,,,2,28,,,,,,,,,,,,,,,,,250
1377,,,,,,1,,,,,17,3,2,,,,,,2,,,,,,,,,320
1378,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,180
1379,,,,,,,,,,3,,,,,,,,,1,1,,,,,1,,42,240
138,,,,1,,,,,,3,,1,,,,,,,,,1,,,,,,,415
1380,,,,,7,,,,,,25,,3,,,,,,1,,,,,4,,,,340
1381,,,,,,,2,,,5,32,,,,,,,,,,,,,,3,,,310
1382,,,,,,,,,,3,10,4,,,,,,,1,,,,,,,,,330
1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,260
1384,,,,,,,,,,,,,4,,,,,,,,,,,,,2,52,180
1385,3,,,,,,,,,,,1,3,,,,,,1,,,,,2,,,34,345
1386,,,,,12,,1,,,4,,1,,,,,,,,,,,,5,,,25,180
1387,3,,,1,,1,,,,,36,1,2,,,,,,,1,,,,,,2,,450
1388,4,,,1,,,,,,,,,3,,,,,,,,,,,4,,2,47,240
1389,3,,,,3,,,,,4,39,2,,,,,,,1,,,,,,,,,350
139,,,,1,,,,,,,,2,3,,,,,,,,1,,,,,1,,430
1390,4,,,1,12,,,,,,25,,3,,,,,,,,,,,2,,,,310
1391,,,,,,,,,,,,,4,,,,,,,,,,,,,4,52,360
1392,3,,,,13,,,,,4,21,,,,,,,,2,,,,,5,2,,,400
1393,3,,,,,1,,,,,35,,3,,1,,,,,1,,,,,3,,,440
1394,,,,1,,1,,,,1,31,4,,,,,,,,1,,,,,,,,420
1395,,,,,,,,,,,,,,,,,,,,,,,,,,,,290
1396,3,,,1,,,,,,,,2,,,,,,,,,,,,3,,,42,410
1397,,,,1,,,,,,,,,,,,,,,,,,,,,,,,290
1398,,,,1,,,,,,5,,1,,,,,,,,,,,,,,,32,330
1399,,,,,,,,,,3,,,,,,,,,,,,,,5,,,37,360
14,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,345
140,,,,,3,,,,,3,,3,,,,,,,,,,,,3,,,,465
1400,3,,,,,,,,,2,,,,,,,,,,,,,,,,,41,300
1401,,,,,,,,,,2,25,,,,,,,,,,,,,4,,,,300
1402,,,,,,,,,,3,,,,,,,,,,,,,,,,,,330
1403,,,,,,,,,,4,15,,,,,,,,,,,,,,1,,,360
1404,,,,1,,,,,,3,,3,,,,10,,,,,,,,10,,,,450
1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,220
1406,,,,2,,,,,,3,,,,,,,,,,,,,,3,,,36,300
1407,,,,,,,,,,1,,1,,,,10,,,,,,,,6,,,24,430
1408,3,,,1,,,,,,3,,,,,,,,,,,,,,,,,24,300
1409,,,,,,,,,,2,,,,,,,,,,,,,,,,,,230
141,,,,1,3,,,,,,,,2,,,,,,,,,,,,,1,,320
1410,,,,,,,,,,,,,3,,,,,,,,,,,5,,,47,260
1411,,,,,,,,,,,,1,3,,,10,,,,,,,,3,,,37,230
1412,,,,,,,,,,,,,3,,,,,,,,,,,,,1,44,260
1413,,,,,,,,,,,,,2,,,,,,,,,,,,,,43,220
1414,,,,,,,,,,,,,3,,,,,,,,,,,3,,,49,260
1415,,,,,,,,,,,,3,3,,,,,,,,,,,3,,,47,230
1416,,,28,,,,,,,,,,,,,,,,,,,,,,,,,300
1417,,,,,3,,1,,,,,,5,,,,,,,,,,,,,3,34,220
1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,320
1419,,,,1,,,,,,,,1,3,,,7,,,,,,,,,,,40,270
142,,,,,3,,,,,4,,,,,,,,,,1,1,,,,,,,365
1420,,,,,,1,,,,,17,,3,,,,,,,1,,,,,2,,,360
1421,,,,,,,,,,,23,1,3,,,,,,,,,,,4,,,,390
1422,,,,,,,,,,3,,3,,,,20,,,2,,,,,4,,,19,450
1423,,,,,6,,,,,,15,,4,,,,,,2,,,,,,,,,300
1424,,,,,,,,,,,,,4,,,,,,,,,,,,,,35,320
1425,,,,1,,,,,,,20,,3,,,,,,,,,,,5,,,,360
1426,,,,,,,,,,,,1,1,,,10,,,,,,,,8,,,,510
1427,,,,1,,,,,,3,20,3,,,,10,,,1,,,,,,,,,510
1428,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
1429,,,,,,,,,,,,,,,,,,,,,,,,,,,34,300
143,,1,,1,1,,,,,,,,1,,,,,,,,,,,3,,1,,390
1430,,,,,,,,,,,35,,2,,,,,,,,,,,,,,,300
1431,,,,,,,,,,,25,,2,,,,,,,,,,,4,,,,300
1432,,,,,,,,,,,12,,3,,,,,,,,,,,4,,,11,300
1433,,,,,,,,,,3,,,,,,,,,,,,,,3,,,18,390
1434,,,,,,,1,,,,19,3,3,,,,,,,,,,,,,,,450
1435,,,,,,,,,,,21,3,3,,,,,,2,,,,,,,,,500
1436,,,,1,,,,,,,23,,3,,,,,,,,,,,2,,2,,360
1437,,1,,,,,,,,3,12,2,,,,,,,2,,,,,,,,,330
1438,,,,1,,,,,,2,,,,,,,,,,,,,,3,,,43,330
1439,,,,1,,1,,,,2,,,,,,,,,,1,,,,3,2,,,390
144,,,,,2,,,,,3,,,,,,,,,,,1,,,,1,,,470
1440,,,,,,,,,,,20,1,3,,,,,,,,,,,2,,,,430
1441,,,,1,,,,,,,,2,3,,,5,,,2,,,,,5,,,13,420
1442,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
1443,,,,1,12,,,,,,,,3,,,,,,,,,,,,,2,,180
1444,,,,1,,1,,,,,21,,2,,,,,,,1,,,,6,,,,320
1445,,,,,,1,,,,,34,2,2,,1,,,,,1,,,,,,,,300
1446,,,,,,,,,,,20,1,5,,,,,,,,,,,,,,,330
1447,,,,1,,,1,,,3,,,,,,,,,,,,,,,,,29,200
1448,,,,,,,,,,2,,,,,,,,,,,,,,3,,,33,180
1449,,,,,,,1,,,6,,2,,,,,,,,,,,,,,,21,240
145,,,,1,3,,,,,,,,4,,,,,,,,,,,,,,,380
1450,,,,,,,,,,,,1,3,,,,,,,,,,,4,,3,27,320
1451,,1,,,4,,,,,,18,2,3,,,,,,1,,,,,,,,,400
1452,,1,,,5,,,,,,29,,2,,,,,,,,,,,,,2,,275
1453,,,,,,,,,,,,1,3,,,6,,,,,,,,6,,2,,300
1454,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1455,,,,1,,,,,,,,,2,,,,,,,,,,,6,,1,,300
1456,,,,,12,,,,,,,,5,,,,,,,,,,,,,,,300
1457,,,,,,,,,,3,,2,,,,10,,,,,,,,2,,,,450
1458,,,,,5,,1,,,,,1,5,,,,,,,,,,,,,,,330
1459,,,,,10,,,,,,,,5,,,,,,,,,,,,,2,,300
146,,,,1,2,,,,,3,,,,,,10,,,,,,,,,2,1,,415
1460,,,,,,,,,,,,2,3,,,,,,2,,,,,,,,19,390
1461,,,,,,,2,,,2,19,3,,,,2,,,,,,,,,,,,450
1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
1463,3,,,,8,,,,,,,,,,,,,,,,,,,,,2,41,300
1464,,,,,,1,,,,4,,,,,,,,,2,1,,,,,2,,17,330
1465,,,,,,,1,,,3,,,,,,,,,,,,,,3,,,30,360
1466,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,420
1467,,,,1,,,,,,2,,,,,,,,,,,1,,,5,,,,360
1468,,,,,10,,1,,,4,13,,,,,,,,,,,,,,,,,180
1469,,,,,,,1,,,4,,,,,,,,,,,,,,5,,,24,360
147,,,,1,3,,,,,1,,,,,,,,,,,1,,,,,,,330
1470,,,,,,,2,,,5,,,,,,,,,,,,,,,,,34,400
1471,,,,,,,,,,3,,1,,,,8,,,,,,,,4,,,32,420
1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
1473,,,,,,,,,,2,,,,,,,,,,,1,,,4,,,,180
1474,,,,,,,,,,3,,,,,,,,,1,,,,,,,2,36,330
1475,,,,,,1,,,,1,,,,,,,,,1,1,,,,6,,,30,330
1476,,,,,,1,,,,4,,,,,,,,,2,1,,,,,2,,34,390
1477,,,,1,10,,1,,,,,1,3,,,,,,,,,,,4,,,36,270
1478,2,,,1,,,,,,,,3,3,,,24,,,1,,,,,,,,24,460
1479,,,,,,1,,,,,,1,4,,,,,,1,1,,,,,,2,18,350
148,,,,1,,,,,,,,2,3,,,,,,,,,,,2,,,,390
1480,,,,,,,,,,2,,,,,,,,,,,1,,,4,,,,450
1481,,,,,,,,,,2,,,,,,,,,,,1,,,6,,,,460
1482,,,,,6,1,1,,,,21,,3,,,,,,,,,,,4,2,,,510
1483,,,,1,,1,1,,,,,2,2,,,5,,,,1,,,,7,,,16,440
1484,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1485,,,,,,,,,,,,,,,,,,,,,1,,,,,,36,300
1486,,,,,,,,,,,,,3,,,,,,,,,,,,,,54,280
1487,,,,1,,,1,,,,28,,3,,,,,,,,,,,,,1,,360
1488,,,,,5,,,,,,,3,4,,,12,,,,,,,,8,,,12,360
1489,,2,,,6,1,,,,,,,2,,,,,,,1,,,,,,,36,300
149,,,,1,,,,,,,,3,2,,,,,,,1,,,,4,,1,,395
1490,,1,,,6,,,,,,,,4,,,,,,1,,,,,,,2,,300
1491,,,,,,1,2,,,2,,,,,,,,,,1,,,,4,,,33,360
1492,,,,1,,1,1,,,1,,1,,,,,,,,1,,,,3,,,26,390
1493,,,,,8,,,,,,,1,3,,,6,,,,,,,,6,,,31,420
1494,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1495,,,,,4,,,,,,,,3,,,,,,2,,,,,,,,20,300
1496,3,1,,,7,,,,,,,,,,,,,,2,,,,,5,,,19,325
1497,,,,1,,,,,,3,,2,,,2,,,,2,,,,,,,,19,330
1498,,,,,8,,1,,,4,,,,,,,,,,,,,,4,,,21,300
1499,2,,,,,,,,,4,29,,,,,,,,,,,,,,,,,300
15,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,350
150,,,,1,,,,,,,,,2,,,,,,,,,,,,2,,,410
1500,,,,,,,1,,,,20,1,6,,,,,,,,,,,,,,,380
1501,,,,,,1,,,,,4,2,3,,1,,,,,1,,,,,,,23,200
1502,4,1,,,8,,,,,,,,4,,,,,,,,,,,,,1,27,180
1503,,,,1,,,,,,,,,4,,,,,,,,,,,5,,,22,340
1504,,,,,,1,,,,,34,,1,,,,,,,1,,,,6,,,,300
1505,,,,1,,,1,,,3,,3,,,,,,,,,,,,,,,,330
1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
1507,4,,,,,,,,,,,1,,,,6,,,1,,,,,8,,,34,420
1508,,,,,,,1,,,,26,,3,,,,,,1,,,,,,,,,200
1509,,,,,,1,,,,,,,4,,,,,,,1,,,,,1,,23,300
151,,,31,,12,,,,,,,,,,,,,,,,,,,,,,,290
1510,,,,,4,1,,,,,,1,1,,,,,,,1,,,,12,,,35,330
1511,,,,1,,1,,,,,,,2,,,,,,,,,,,,,,27,220
1512,,,,1,,,,,,,,,4,,,,,,,,,,,,,2,24,220
1513,,,,,,,,,,,,,4,,,,,,,,,,,5,,,23,280
1514,,,,1,7,1,,,,,,2,1,,,,,,1,1,,,,,,,31,350
1515,,,,,6,,1,,,3,22,3,,,,,,,1,,,,,4,,,,360
1516,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1517,,,,,,,1,,,4,,,,,,,,,1,,,,,,,,34,200
1518,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1519,,,,1,6,,1,,,,,,2,,,,,,1,,,,,6,,,32,220
152,,,,,3,,,,,,,,3,,,,,,,,1,,,4,,,,280
1520,,3,,,,1,,,,,3,,3,,,,,,,1,,,,,1,,30,320
1521,4,,,,,,,,,,,,3,,,4,,,,,,,,2,1,,24,280
1522,,,,,,,1,,,2,,2,,,,10,,,1,,,,,4,,,18,280
1523,,3,,1,,1,,,,,,,2,,,,,,,1,,,,5,,,35,240
1524,,,,,,,1,,,4,,1,,,,4,,,1,,,,,,,,29,270
1525,,,,,,,,,,,39,,3,,,,,,,,,,,,,,,260
1526,,,,,,,1,,,3,16,3,,,,,,,1,,,,,4,,,,280
1527,,,,,3,,,,,,5,1,,,,13,,,,,,,,,,,,390
1528,,,,1,,1,1,,,2,,,,,,,,,1,,,,,,,,27,260
1529,,,,2,,,1,,,,,,,,,,,,1,,,,,,,1,37,300
153,,1,,1,5,,,,,1,,,,,,,,,,1,,,,4,,,,255
1530,,,,,,,2,,,6,,,,,,,,,,,,,,,3,,24,290
1531,,,,2,,,,,,3,,,,,,3,,,,,,,,,,,30,480
1532,,,,,,1,2,,,1,29,2,,,,10,,,,1,,,,3,,,,310
1533,3,,,,,,,,,,,3,3,,,20,,,,,,,,4,,,54,540
1534,,2,,1,10,,,,,4,,,,,,,,,,,,,,,,,36,390
1535,,,,,,,,,,3,,,,,,,,,,,,,,5,,,40,400
1536,,,,,,,,,,4,,,,,,,,,2,,,,,,,,36,470
1537,,,,1,16,,,,,3,,,,,,,,,,,,,,6,,,52,480
1538,,,,,,1,,,,,,3,2,,,,,,,,,,,4,,,28,540
1539,,,30,,,,,,,,,,,,,,,,,,,,,,,,,260
154,,1,,,,,,,,3,,,,,,,,,,1,,,,,1,,,335
1540,,,,1,,,,,,,21,3,3,,,14,,,,,,,,6,,,,355
1541,,,,,,,,,,2,27,,,,,,,,,,1,,,,,,,320
1542,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,240
1543,,2,,1,,,,,,,29,2,3,,,,,,,,,,,,,,,390
1544,,,,,,,,,,2,,,,,,,,,,,,,,4,,,41,320
1545,,,,,,,,,,,,,3,,,,,,,,,,,4,1,,30,360
1546,,,,,12,,,,,,7,3,2,,,,,,1,,,,,3,,,18,450
1547,,,,1,,,,,,,,,2,,,,,,,,,,,,,2,30,300
1548,,,,,,,,,,,,,3,,,,,,,,,,,6,,,24,270
1549,,,,,,1,,,,,,,3,,1,,,,,1,,,,4,,,24,450
155,,,,,3,,,,,,,,,,,,,,,,,,,4,2,,,400
1550,,,,1,,,,,,,,,3,,,,,,,,,,,,,,24,360
156,,,,,,,,,,,,,2,,,,,,,1,1,,,,,,,290
157,,,,1,2,,,,,,,,2,,,,,,,1,,,,,,,,310
158,,,,,,,,,,2,,,,,,2,,,,,,,,5,,,,345
159,,,,,4,1,,,,2,,,,,,9,,,,,,,,3,1,,,320
16,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,320
160,,,,,,,,,,2,,1,,,,10,,,,,,,,4,,,,410
161,,,,,5,,,,,,,,3,,,,,,,,,,,,,,,325
162,,1,,1,4,,,,,1,,,,,,,,,,,1,,,,,,,150
163,,,,1,,,,,,3,,2,,,,,,,,,,,,,,,,385
164,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,330
165,,,,,3,,,,,3,,,,,,,,,,1,,,,,,,,310
166,,,,,8,,,,,,,,2,,,,,,,,1,,,3,,,,300
167,,,,,2,1,,,,3,,,,,,,,,,,,,,,,,,325
168,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,340
169,,,,,3,,,,,3,,3,,,,,,,,,,,,,,,,380
17,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,300
170,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,380
171,,,,1,,,,,,,,,,,,,,,,,,,,,,,,330
172,,,,1,3,,,,,2,,,,,,,,,,,,,,,,,,365
173,,,,1,,,,,,1,,,,,,2,,,,,,,,2,,,,370
174,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,310
175,,,,1,3,,,,,2,,,,,,2,,,,,,,,2,,,,360
176,,,,,3,,,,,,,,2,,,2,,,,,,,,3,,,,390
177,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,340
178,,,,,3,,,,,,,,3,,,2,,,,,,,,4,,,,375
179,,,30,,,,,,,,,,,,,,,,,,,,,,,,,300
18,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,275
180,,,,,,,,,,,,,,,2,,,,,,,,,,,,,330
181,,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,330
182,,1,,,,,,,,4,,,,,,2,,,,,,,,2,,,,340
183,,,,1,4,,,,,,,,3,,,6,,,,,,,,,,,,350
184,,1,,1,3,,,,,1,,,1,,,10,,,,,,,,8,1,,,480
185,,2,,1,,,,,,1,,,,,,,,,,1,,,,,,,,330
186,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,360
187,,,,,4,1,,,,,,,,,,,,,,1,,,,4,,,,330
188,,,,,,1,,,,,,,1,,,,,,,1,,,,5,1,,,430
189,,,,,5,,,,,,,,3,,,,,,,,,,,2,1,,,400
19,,,,1,,,,,,3,,,,,,1,,,,,,,,1,,,,330
190,,1,,,2,,,,,,,,3,,,20,,,,,,,,4,2,,,505
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,150
192,,,,1,3,,,,,3,,,,,,,,,,,,,,,,,,350
193,,,,,,,,,,1,,,,,,,,,,1,,,,2,,,,310
194,,,,,,,,,,3,,2,,,,,,,,,,,,2,,,,450
195,,,,,,1,,,,1,,3,,,,,,,,1,,,,3,,,,500
196,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,330
197,,,,,,1,,,,1,,,,,,,,,,1,,,,3,,,,400
198,,,,1,,,,,,,,,3,,,,,,,,,,,,1,,,425
199,,,,,2,,,,,,,,4,,,5,,,,,,,,5,1,,,380
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,310
20,,,,,,,,,,1,,,,,,,,,,,,,,,,,,260
200,,,,,,1,,,,,,,,,,,,,,1,,,,6,1,,,425
201,,,,,,,,,,,,,5,,,,,,,,,,,,,,,310
202,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,365
203,,,,,2,,,,,,,,,,2,,,,,,,,,4,,1,,260
204,,,,,,,,,,,,,,,3,,,,,,,,,4,1,,,360
205,,,28,,,,,,,,,,,,,,,,,,,,,,,,,260
206,,,,,,1,,,,,,2,,,2,,,,,1,,,,,,,,340
207,,,,,,1,,,,,,3,,,1,,,,,1,,,,,,,,360
208,,3,,1,,,,,,,,3,4,,,,,,,,,,,,,,,380
209,1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,300
21,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,300
210,3,,,1,2,,,,,,,,2,,,,,,,,,,,,,,,385
211,3,,,,3,,,,,,,,,,3,,,,,,,,,,,,,290
212,2,,,1,4,,,,,1,7,,3,,,,,,,1,,,,,,,,370
213,,,31,,,,,,,,,,,,,,,,,,,,,,,,,290
214,,,,,4,,,,,1,8,3,,,,,,,,,,,,3,,,,375
215,2,,,,12,1,,,,,7,,3,,,4,,,,,,,,,,,,425
216,1,,,,2,1,,,,,2,,,,,10,,,,,,,,8,1,,,480
217,,,,1,2,1,,,,1,6,,,,,7,,,,1,,,,,,,,380
218,4,,,1,5,,,,,3,12,,,,,,,,,,,,,,,1,,315
219,,,,,5,1,,,,2,,1,,,,,,,,,,,,,,,,250
22,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,275
220,3,,,1,1,,,,,,2,,,,,,,,,1,,,,,,,,240
221,,,,1,,,,,,1,,2,,,,,,,,,,,,11,,,,360
222,3,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,330
223,,,,,,1,,,,1,,1,,,,2,,,,1,,,,,,,,330
224,,,,,3,1,,,,,,3,2,,,,,,,,,,,3,,,,470
225,,,,,,,,,,2,,1,,,,,,,,,,,,7,,,,470
226,,,29,,,,,,,,,,,,,,,,,,,,,,,,,280
227,3,,,1,6,,,,,,2,,2,,,,,,,,,,,,,1,,330
228,,,,,,1,,,,1,,1,2,,,,,,,,,,,,,,,470
229,,,,,,1,,,,,,2,2,,,,,,,,,,,,,,,440
23,,,,1,,,,,,2,,1,,,,2,,,,,,,,,,,,320
230,3,,,1,,1,,,,,,,1,,,,,,,,,,,,,1,,330
231,,,,,,1,,,,,,,2,,,,,,,1,,,,,,,,330
232,2,,,1,2,,,,,,3,,2,,,,,,,,,,,,,1,,310
233,,,,,1,1,,,,,1,,1,,,5,,,,1,,,,,,1,,355
234,,,,,,,,,,2,,,,,,5,,,,,,,,9,1,,,430
235,,,30,,,,,,,,,,,,,,,,,,,,,,,,,220
236,,,,2,1,1,,,,,,,1,,,,,,,1,,,,,,,,330
237,,,,,,,,,,,,,3,,,,,,,,,,,10,2,,,400
238,,,,,,,,,,,,2,2,,,,,,,1,,,,,,,,435
239,2,,,1,5,,,,,,3,,3,,,,,,,,,,,,,1,,270
24,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,420
240,,,,1,,,,,,,,,2,,,,,,,,,,,4,,,,330
241,,,,,1,1,,,,1,,,,,,,,,,,,,,6,,,,360
242,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,305
243,,,26,,,,,,,,,,,,,,,,,,,,,,,,,240
244,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,295
245,,,,1,,,,,,,,,,,1,,,,,,,,,3,,,,320
246,,,,,1,,,,,,,,2,,,,,,,,,,,5,,,,420
247,,,,,1,,,,,,,,2,,,,,,,,,,,,,1,,295
248,,,,,1,,,,,,,,2,,1,,,,,,,,,,,,,380
249,,,,,2,,,,,,,3,2,,,,,,,,,,,,,,,380
25,,,,1,,,,,,2,,3,,,,,,,,,,,,,,,,350
250,,,,,2,,,,,,,3,2,,1,,,,,,,,,4,,,,385
251,,,28,,,,,,,,,,,,,,,,,,,,,,,,,300
252,,,,,1,,,,,,,,3,,,,,,,,,,,5,,1,,360
253,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,150
254,,,,1,2,,,,,,5,,,,,,,,,,,,,,1,,,320
255,,,,,2,,,,,2,5,,,,,,,,,,,,,9,2,,,440
256,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,250
257,,,,,1,,,,,,4,,3,,,,,,,,,,,,,2,,330
258,,,,,1,,,,,,5,,3,,,,,,,,,,,,,,,330
259,,,,,7,,,,,,,,,,3,,,,,,,,,4,1,,,360
26,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,330
260,,,,,4,,,,,,8,,1,,,,,,,,,,,16,1,,,400
261,,,,1,,,,,,,1,,,,,,,,,,,,,,,,15,310
262,,,,,2,,,,,,4,,3,,,,,,,,,,,,,,19,350
263,,,,,1,1,,,,,2,,2,,,10,,,,,,,,,1,,25,390
264,,,,1,,,,,,,3,,1,,,,,,,,,,,,,,32,310
265,,,,,,1,,,,,4,,2,,,,,,,,,,,4,,,26,310
266,,,,,2,,,,,,,2,2,,,,,,,,,,,,,,30,410
267,,,,,,,,,,,1,3,3,,,,,,,,,,,,,,42,380
268,,,,,,1,,,,,4,4,2,,,,,,,,,,,,,,11,370
269,,,28,,,,,,,,,,,,,,,,,,,,,,,,,300
27,,,,1,,,,,,2,,,,,,,,,,,,,,1,,,,220
270,,,,,,,,,,,5,,2,,,,,,,,,,,3,,,32,330
271,,,,,,,,,,4,3,,,,,,,,,,,,,,,2,15,310
272,,,,1,,,,,,,2,,3,,,,,,,,,,,,,,28,305
273,,,,2,,,,,,2,5,,,,,,,,,,,,,,,,,270
274,,,,,,,,,,,5,,3,,,5,,,,,,,,5,1,1,32,425
275,,,,2,,,,,,,5,,3,,,,,,,,,,,,,,,345
276,,,,,3,,,,,,,,3,,,,,,,,,,,4,,1,11,310
277,,,,1,4,,,,,,3,1,2,,,,,,,,,,,3,,1,10,275
278,,,,1,3,,,,,,5,3,2,,,,,,,,,,,4,,,,495
279,,,,,3,,,,,,2,,2,,,,,,,,,,,9,1,,,390
28,,,,,,,,,,,,,,,,,,,,,,,,,1,,,315
280,,,31,,,,,,,,,,,,,,,,,,,,,,,,,320
281,,,,1,,1,,,,,9,,1,,,,,,,1,,,,,,,,330
282,,,,,,1,,,,,3,,2,,,,,,,1,,,,10,1,,21,380
283,,,,,,1,,,,,3,,1,,,,,,,1,,,,20,2,,,400
284,,,,1,,1,,,,,6,,,,,,,,,1,,,,5,2,,,380
285,,,,,,,,,,,4,,3,,,,,,,,,,,,,,,290
286,,2,,2,,,,,,,,,2,,,,,,,,,,,5,,1,,330
